deal,image,location,price,shop,title
,,,148.00,,"月饼 稻香村月饼礼盒1080g上品御礼中秋月饼
				【京东自营 正品保障】稻香村月饼礼盒 中华老字号 中秋月饼大礼包中秋专场【爆款限时秒杀】更多优惠请点击(此商品不参加上述活动)"
,,,49.90,,"【拍两份送一份】云南云腿月饼50g/枚 蛋黄火腿月饼 散装 中秋月饼礼盒 云腿酥50g*10枚（袋装）
				日期新鲜月饼200份库存低价处理，买二送一"
,,,128.00,,"京东超市月饼 稻香村月饼礼盒910g迎月纳福中秋月饼
				【京东自营 正品保障】稻香村月饼礼盒 中华老字号 中秋月饼大礼包中秋专场【爆款限时秒杀】更多优惠请点击(此商品不参加上述活动)"
,,,45.90,,"月饼 华美花韵月语中秋月饼礼盒600g
				【自营 正品保障】华美月饼礼盒，中秋月饼大礼包中秋专场9.9元起【APP限时秒杀】猛戳惊喜！"
,,,148.00,,京东超市广州酒家利口福 中秋月饼 双黄白莲蓉 月饼 礼盒 750g
,,,258.00,,"月饼 稻香村月饼礼盒 金碧辉煌礼860g
				【京东仓配 自营时效】团购优惠可联系在线客服，部分月饼礼盒，首页领券满499减100"
,,,189.00,,"京东超市中国香港 原装进口月饼 元朗荣华 双黄白莲蓉月饼740g 中秋月饼礼盒礼品
				香港生产，原装进口，深入人心的牡丹花图案，经典传世，畅销海内外六十余载迎国庆，全球美食嘉年华，低至满199减100，点击查看！"
,,,59.00,,"京东超市稻香村月饼礼盒 浓情金月710g
				【京东8仓配送】 自营时效 浓情金月内含200g双黄莲蓉 团购联系在线客服 点击立即购买！"
,,,68.00,,"京东超市广州酒家利口福 中秋月饼 团团圆圆 双黄白莲蓉 月饼 礼盒 576.5g
				京东自营，零食好货嗨翻天好货在这里，手指 戳一下立享优惠"
,,,69.90,,"华美 月饼礼盒装广式蛋黄中秋节企业团购 金秋福礼860g
				【京东全国7仓配送 主要城市次日达】 团购享优惠400-610-1360转622708"
,,,39.90,,"京东超市月饼礼盒 金尊 澳门双黄 双黄莲蓉 600g 4个装 铁罐装 中秋月饼礼盒广式月饼精装
				始于1969澳门老街，传承正宗广式月饼糕点点击抢爆品(此商品不参加上述活动)"
